mean_score,std dev score, max_features
0.983940163621,0.00194747195187,0.5,25
0.98467581267,0.00200838159756,0.5,26
0.984653973379,0.00122804548239,0.5,27
0.984342034658,0.00174495315699,0.5,28
0.984125649526,0.00164688946366,0.5,29
0.984825549367,0.00183687846898,0.5,30
0.984162399359,0.001884657272,0.5,31
0.984415854221,0.00181760616199,0.5,32
0.98484870589,0.00157663385082,0.5,33
0.983991720388,0.00195840603738,0.5,34
0.98491536171,0.0013404883393,0.5,35
0.979963265369,0.00299216446511,sqrt,25
0.979410279527,0.00209833615482,sqrt,26
0.980300157779,0.00212187153315,sqrt,27
0.979525521952,0.00173350183022,sqrt,28
0.980428342925,0.00211228933158,sqrt,29
0.980121731959,0.00254327196368,sqrt,30
0.979987524147,0.00204861733075,sqrt,31
0.980106948035,0.00209336139925,sqrt,32
0.979739761856,0.00218069141441,sqrt,33
0.980152664324,0.000976503753818,sqrt,34
0.980825192204,0.001660103975,sqrt,35
0.97301499652,0.00323201225154,log2,25
0.971781847747,0.00268608093416,log2,26
0.971919163682,0.00269416965537,log2,27
0.972895513772,0.0022815163782,log2,28
0.972983975398,0.00316080119393,log2,29
0.972862405538,0.00291296254987,log2,30
0.972977905808,0.00276316305938,log2,31
0.972611394911,0.00235517875597,log2,32
0.972504760282,0.00283148577741,log2,33
0.972778771861,0.00352254869874,log2,34
0.973120684752,0.00232693722572,log2,35
